titulo,autor,editora,media_avaliacao,total_avaliacao,genero_literario,grau_popularidade
Os Deixados Para Trás - Capa Azul,Tom Perrotta,Intrínseca,5.0,1,suspense e mistério,Média
Offering to the storm,Dolores Redondo,HarperCollins,5.0,1,suspense e mistério,Média
A prova,Agota Kristof,Rocco,5.0,1,suspense e mistério,Média
A prova,Agota Kristof,Rocco,5.0,1,suspense e mistério,Média
A prova,Agota Kristof,Rocco,5.0,1,suspense e mistério,Média
Os Filhos do Capitão Grant,Júlio Verne,Jornal,5.0,1,suspense e mistério,Média
Harry Potter e as Relíquias da Morte,J.K. Rowling ,Rocco,4.8,109,suspense e mistério,Baixa
Harry Potter e as Relíquias da Morte,J.K. Rowling ,Rocco,4.8,109,suspense e mistério,Baixa
Harry Potter e as Relíquias da Morte,J.K. Rowling ,Rocco,4.8,109,suspense e mistério,Baixa
Harry Potter e as Relíquias da Morte,J.K. Rowling ,Rocco,4.8,109,suspense e mistério,Baixa
Harry Potter e As Relíquias da Morte,J.K. Rowling ,Rocco,4.8,109,suspense e mistério,Baixa
Harry Potter e as Relíquias da Morte,J.K. Rowling ,Rocco,4.8,109,suspense e mistério,Baixa
Harry Potter e o Prisioneiro de Azkaban,J.K. Rowling ,Rocco,4.7,132,suspense e mistério,Baixa
Harry Potter e o Enigma do Príncipe,J.K. Rowling ,Rocco,4.7,110,suspense e mistério,Baixa
Harry Potter e o Enigma do Príncipe,J.K. Rowling ,Rocco,4.7,110,suspense e mistério,Baixa
Harry Potter e o Prisioneiro de Azkaban,J.K. Rowling ,Rocco,4.7,132,suspense e mistério,Baixa
Box - Sherlock Holmes - 4 Volumes,Sir Arthur Conan Doyle,HarperCollins,4.7,491,suspense e mistério,Baixa
Harry Potter e o Prisioneiro de Azkaban,J.K. Rowling ,Rocco,4.7,132,suspense e mistério,Baixa
Harry Potter e o Enigma do Príncipe,J.K. Rowling ,Rocco,4.7,110,suspense e mistério,Baixa
Harry Potter e o Prisioneiro de Azkaban,J.K. Rowling ,Rocco,4.7,132,suspense e mistério,Baixa
Harry Potter e o Enigma do Príncipe,J.K. Rowling ,Rocco,4.7,110,suspense e mistério,Baixa
Harry Potter e o Enigma do Príncipe,J.K. Rowling ,Rocco,4.7,110,suspense e mistério,Baixa
Harry Potter e o Prisioneiro de Azkaban,J.K. Rowling ,Rocco,4.7,132,suspense e mistério,Baixa
Harry Potter e o Prisioneiro de Azkaban,J.K. Rowling ,Rocco,4.7,132,suspense e mistério,Baixa
A Casa de Hades,Rick Riordan,Intrínseca,4.6,24,suspense e mistério,Baixa
Harry Potter e o Cálice de Fogo,J.K. Rowling ,Rocco,4.6,120,suspense e mistério,Baixa
Os Pilares da Terra,Ken Follett,Rocco,4.6,4,suspense e mistério,Baixa
Box Coleção Agatha Christie,Agatha Christie,Nova,4.6,72,suspense e mistério,Baixa
O Enigma do Quarto 622,Joël Dicker,Intrínseca,4.6,66,suspense e mistério,Baixa
Harry Potter e o Cálice de Fogo,J.K. Rowling ,Rocco,4.6,120,suspense e mistério,Baixa
Harry Potter e a Pedra Filosofal,J.K. Rowling ,Rocco,4.6,169,suspense e mistério,Baixa
Harry Potter e a Ordem da Fênix,J.K. Rowling ,Rocco,4.6,111,suspense e mistério,Baixa
Harry Potter e a Ordem da Fênix,J.K. Rowling ,Rocco,4.6,111,suspense e mistério,Baixa
Harry Potter e o Cálice de Fogo,J.K. Rowling ,Rocco,4.6,120,suspense e mistério,Baixa
À Espera de um Milagre,Stephen King,Planeta,4.6,6,suspense e mistério,Baixa
Os Pilares da Terra,Ken Follett,Rocco,4.6,4,suspense e mistério,Baixa
A Coisa,Stephen King,Planeta,4.6,17,suspense e mistério,Baixa
Box Coleção Agatha Christie,Agatha Christie,Nova,4.6,316,suspense e mistério,Baixa
Harry Potter e o Cálice de Fogo,J.K. Rowling ,Rocco,4.6,120,suspense e mistério,Baixa
